PRODUCT_PHR,Fault_Category,Part_Category
TC72,DAMAGE,MAIN BOARD
TC72,DAMAGE,SHIELD
TC77,COMMUNICATION,ANTENNA
TC77,DISPLAY,HOUSING + TP + DISPLAY
L10 Android,SOFTWARE,MAIN BOARD
L10 Android,TOUCH PANEL,HOUSING + TP + DISPLAY
MC93,NFF,SOFTWARE
TC52/57 Mufasa,OTHER,MAIN BOARD
TC53,SOFTWARE,MINOR COMPONENT
TC53,POWER,SCAN ENGINE
TC53,WEAR & TEAR,MINOR COMPONENT
TC52/57 Lightning,CABLE,CAMERA MODULE
TC58,SOFTWARE,MAIN BOARD
VC83,DAMAGE,CABLE
VC83,DAMAGE,COAX CABLE
MC93,SCANNER,SOFTWARE
TC52/57 Mufasa,CAMERA,RUBBER BOOT
TC52/57 Mufasa,DAMAGE,KEY BUTTON
TC72,SOFTWARE,HOUSING + TP + DISPLAY
TC72,SOFTWARE,MAIN BOARD
TC72,DAMAGE,DOOR
TC72,DAMAGE,MINOR COMPONENT
TC52 Aslan,POWER,MINOR COMPONENT
TC52 Aslan,SOFTWARE,MINOR COMPONENT
TC52 Aslan,DAMAGE,DISPLAY + TP
TC52/57 Lightning,BATTERY,MAIN BOARD
TC53,POWER,CONNECTOR
TC53,SCANNER,MAIN BOARD
TC53,DISPLAY,CONNECTOR
TC53,BATTERY,MAIN BOARD
TC53,OTHER,DISPLAY + TP
TC77,TOUCH PANEL,FLEX STRIP
TC52/57 Lightning,OTHER,RECEIVER
TC52/57 Mufasa,SOFTWARE,MINOR COMPONENT
TC77,TRIGGER,HOUSING
TC21/26,WEAR & TEAR,ADHESIVE
TC21/26,POWER,CONNECTOR
TC52 Aslan,SCANNER,SCAN ENGINE
TC52 Aslan,COMMUNICATION,MAIN BOARD
TC52 Aslan,DAMAGE,SUPERCAP
TC52 Aslan,OTHER,DISPLAY
TC52 Aslan,DISPLAY,CONNECTOR
TC52/57 Mufasa,OTHER,TOUCH PANEL
TC72,TOUCH PANEL,CONNECTOR
TC72,WEAR & TEAR,MINOR COMPONENT
MC93,AUDIO,SPEAKER
TC52/57 Lightning,DAMAGE,KEY BUTTON
TC52/57 Lightning,SENSOR,SENSOR
TC52/57 Lightning,SCANNER,EXIT WINDOW
L10 Windows,OTHER,CABLE
L10 Windows,WEAR & TEAR,SENSOR
TC52 Aslan,OTHER,CONNECTOR
TC77,POWER,HOUSING + TP + DISPLAY
RS51,WEAR & TEAR,HOUSING
TC52 Aslan,SOFTWARE,CONNECTOR
TC52 Aslan,CAMERA,CAMERA MODULE
TC52 Aslan,CAMERA,CAMERA
TC52/57 Mufasa,OTHER,SCAN ENGINE ASSEMBLY
TC53,DAMAGE,FRAME
TC52/57 Mufasa,WEAR & TEAR,SPEAKER
TC52/57 Mufasa,WEAR & TEAR,RECEIVER
RS51,WEAR & TEAR,MINOR COMPONENT
TC52 Aslan,FF/DCN,SOFTWARE
TC52 Aslan,NFF,SOFTWARE
TC53,WEAR & TEAR,ADHESIVE
TC53,TOUCH PANEL,CONNECTOR
TC53,TRIGGER,MAIN BOARD
TC52/57 Mufasa,WEAR & TEAR,RETAINER
TC77,TOUCH PANEL,HOUSING + TP + DISPLAY
TC52/57 Mufasa,CRADLE,MINOR COMPONENT
TC52/57 Mufasa,SOFTWARE,GASKET
TC72,TOUCH PANEL,MAIN BOARD
TC72,POWER,HOUSING + TP + DISPLAY
TC72,OTHER,IO BOARD
MC93,SENSOR,FLEX STRIP
TC77,DAMAGE,FLEX STRIP
TC77,TRIGGER,TRIGGER
L10 Windows,POWER,MAIN BOARD
TC52/57 Lightning,TOUCH PANEL,MAIN BOARD
TC52/57 Lightning,AUDIO,MAIN BOARD
ET40/45,WEAR & TEAR,HOUSING
VC83,COMMUNICATION,IO BOARD
RS51,FF/DCN,TRIGGER
RS51,WEAR & TEAR,STRAPS
TC21/26,SOFTWARE,SOFTWARE
TC52/57 Mufasa,POWER,SCAN ENGINE ASSEMBLY
TC72,TOUCH PANEL,HOUSING + TP + DISPLAY
MC93,SENSOR,COVER
TC22/27,COMMUNICATION,MAIN BOARD
TC21/26,DAMAGE,MAIN BOARD
TC21/26,TOUCH PANEL,DISPLAY + TP
TC52/57 Lightning,DAMAGE,DOOR
TC52/57 Lightning,SCANNER,MINOR COMPONENT
TC22/27,NFF,SOFTWARE
TC52/57 Mufasa,TRIGGER,TRIGGER
TC58,WEAR & TEAR,ADHESIVE
TC77,SENSOR,FLEX STRIP
L10 Windows,DAMAGE,HOUSING
L10 Windows,OTHER,FOIL
TC52 Aslan,DAMAGE,CONNECTOR
TC52/57 Lightning,OTHER,CONNECTOR
TC52/57 Lightning,DISPLAY,MINOR COMPONENT
TC52/57 Lightning,CABLE,SCAN ENGINE
MC93,WEAR & TEAR,HOUSING
MC93,WEAR & TEAR,KEYPAD
MC93,WEAR & TEAR,DISPLAY + TP
MC93,SENSOR,MAIN BOARD
MC93,DAMAGE,DISPLAY
TC21/26,AUDIO,MAIN BOARD
TC52/57 Lightning,COMMUNICATION,MINOR COMPONENT
TC52/57 Lightning,CAMERA,CAMERA MODULE
TC52/57 Lightning,OTHER,SCAN ENGINE
TC72,AUDIO,RECEIVER
TC72,DAMAGE,REAR HOUSING
MC94,SOFTWARE,SOFTWARE
ET40/45,DAMAGE,SUB BOARD
TC21/26,DAMAGE,ADHESIVE
TC21/26,WEAR & TEAR,BEZEL
TC21/26,WEAR & TEAR,RECEIVER
TC21/26,WEAR & TEAR,DISPLAY + TP
TC52/57 Lightning,DAMAGE,SPEAKER
TC53,DAMAGE,HOUSING
TC77,OTHER,MAIN BOARD
TC22/27,COMMUNICATION,SIM TRAY
TC22/27,SCANNER,SCAN ENGINE ASSEMBLY
TC77,SCANNER,WINDOW / LENS
RS51,COMMUNICATION,SCAN ENGINE
TC58,OTHER,DISPLAY + TP
VC83,COMMUNICATION,MAIN BOARD
TC52 Aslan,TOUCH PANEL,MAIN BOARD
TC53,DAMAGE,SCAN ENGINE
L10AX Windows,COMMUNICATION,OPTION BOARD
L10AX Windows,COMMUNICATION,MAIN BOARD
TC52 Aslan,LOCKUP,MAIN BOARD
